Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C6",0805,4,10uF,C6119887
"C4, C5",0805,2,1uF,C116352
D1,0805,1,RED,C84256
D2,0805,1,BLUE,C84259
F1,0805,1,Polyfuse,C22363531
FB1,FerriteBead_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,FerriteBead,C76818
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-17,1,USB_C_Receptacle_PowerOnly_6P,C668623
J2,PinHeader_2x03_P2.54mm_Vertical,1,+12v Rail,C7501274
J3,PinHeader_2x03_P2.54mm_Vertical,1,-12V Rail,C7501274
PS1,Converter_DCDC_XP_POWER-IAxxxxS_THT,1,A0512S,C19272708
"R1, R2, R5",0805,3,5k1Ω,C27834
"R3, R4",0805,2,2k2Ω,C2907303
R6,0805,1,100Ω,C2907294
SW1,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,C2939725
U1,SOT-363_SC-70-6,1,LM66100,C2869734
U2,SOT-23-6,1,TPS22918,C131941
