Designator,Mid X,Mid Y,Rotation,Layer
C1,66.4625,-62.5,180.0,top
C2,80.4625,-59.5,180.0,top
C3,87.9625,-59.4,180.0,top
C4,66.3625,-59.5,180.0,top
C5,73.7625,-59.5,180.0,top
C6,89.9625,-69.5,0.0,top
C7,89.9625,-62.5,0.0,top
D1,56.975,-50.5,0.0,top
D2,89.275,-49.8,0.0,top
F1,59.975,-63.0,0.0,top
FB1,66.5,-66.5,0.0,top
J1,51.2,-64.12,270.0,top
J2,51.27,-52.54,180.0,bottom
J3,95.81,-52.54,180.0,bottom
PS1,74.75,-54.3,270.0,top
R1,56.9525,-55.1,0.0,top
R2,56.9525,-57.4,0.0,top
R3,56.9525,-52.8,0.0,top
R4,89.2525,-53.6,0.0,top
R5,83.0,-69.5,0.0,top
R6,90.0,-66.0,0.0,top
SW1,96.5,-65.6,90.0,top
U1,72.5,-64.05,180.0,top
U2,82.6375,-64.0,180.0,top
